Feature,Importance
PAY_0,0.07293969336237667
AVG_PAYMENT_DELAY,0.06316279801585087
CREDIT_USAGE_RATIO,0.05686446874592794
AGE,0.05390976025919993
TOTAL_PAYMENT,0.05388685385790166
LIMIT_BAL,0.04855693272732497
BILL_AMT1,0.04774848550480945
TOTAL_BILL,0.046681167323073154
BILL_AMT2,0.041790919017603276
PAY_AMT2,0.04006210919718163
PAY_AMT1,0.03986005096294153
PAY_AMT3,0.03926373017125628
BILL_AMT4,0.03899011974128071
BILL_AMT3,0.03869757141943313
BILL_AMT6,0.03804070662049505
BILL_AMT5,0.03773546766754545
PAY_AMT6,0.037159594149045835
PAY_2,0.03645108937414615
PAY_AMT4,0.035634107336017025
PAY_AMT5,0.03460684097973995
PAY_3,0.019405092309115805
PAY_4,0.0177394197701332
EDUCATION,0.01571985272538908
PAY_5,0.014172111663445484
PAY_6,0.01162895524905359
MARRIAGE,0.010323164544093261
SEX,0.008968937305618829
